## THREAD

unknown

## CHAT_ID

unknown

## TS

2026-02-06

## Assumptions (scoped to `generated repository snapshot artifact`)

* Only local execution; no network calls are intended at runtime (UI is local web only). 
* `./appdata/` is the sole state/artifact root (SQLite + per-run directories). 
* Runs are orchestrated by `Pipeline.run()` and plugin execution is subprocess-based (`plugin_runner.py`).  
* Plugin contracts are enforced via manifest + config/output JSON schemas.  
* Reports are written as both `report.md` and schema-validated `report.json`.  
* Uploads are hashed (sha256) and deduplicated in storage lookups.  
* Determinism is partially enforced (per-run seed; JSON stable dumps; discipline plugin checks `measurement_type` + modeled assumptions).   
* Multi-tenant support exists in schema (`tenant_id` columns), but operator experience is effectively “single-operator local” unless flags are enabled. 

## Key claims (grounded)

| Claim label | Claim                                                                                              | Evidence                                                                                                                 |
| ----------- | -------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------ |
| CITE        | `run_id` is typically random/UUID-derived; `run_seed` defaults to a stable hash of `run_id`.       | `make_run_id()` uses `uuid.uuid4().hex`.  Pipeline derives `run_seed` via `stable_hash(run_id)` when seed not provided.  |
| CITE        | JSON writing is non-atomic in core utilities (direct `write_text`).                                | `write_json()` uses `path.write_text(...)` directly.                                                                     |
| CITE        | SQLite durability is WAL + `synchronous=NORMAL` by default.                                        | Connection PRAGMAs set WAL and synchronous NORMAL.                                                                       |
| CITE        | Subprocess plugin runner enforces “no network” and a filesystem allowlist via guards.              | Sandbox network + FS guard setup is in `sandbox.py`.  Runner applies sandbox based on manifest.                          |
| INFERENCE   | The current “plugin manager UI” is operator-hostile (no install/update/compat/sandbox visibility). | `/templates/plugins.html` lists plugins as plain `<li>` entries with no actions/metadata.                                |

---

# A) Red-team failure scenarios

## A1) Red-team as a User (fatigue/misclick/low patience) — 10 scenarios

|   # | Failure mode                                                                        | Likely detection signals (existing/needed)                                                                | Mitigation (defensive)                                                                                                                                                        |
| --: | ----------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
|  U1 | Upload wrong dataset (similar filename) → run “looks plausible”                     | UI shows only filename + bytes in some flows (no strong identity), while sha exists.                      | Require “dataset identity card” confirmation before run: sha256, row/col counts, inferred roles; make “Run” disabled until user acknowledges identity.                        |
|  U2 | Dedup by sha causes user to think “new upload” happened but it reuses old upload_id | Server can return an existing upload by sha (ordered earliest).                                           | Make dedup explicit in UI: “Matched existing content; reusing upload_id=… created_at=…”. Store “upload_instance_id” for each attempt.                                         |
|  U3 | Misunderstand modeled vs measured; treats modeled metrics as facts                  | “Determinism discipline” exists, but only if run includes that plugin.                                    | Make `measurement_type` mandatory at schema level for findings and add “modeled banner” UI grouping; always run discipline validation at harness-level (not optional plugin). |
|  U4 | Runs are not provably reproducible (“what ran?”)                                    | Pipeline writes per-plugin request/response JSON files (good), but UX does not prominently link them.     | Add a “Proof” panel: settings hash, plugin code hash, request/response links, schema versions, dataset hash, seed.                                                            |
|  U5 | Wrong plugin set selected (“all”) triggers expensive/irrelevant analyses            | Project flow encourages “Upload & Run All Plugins”.                                                       | Add planner-based recommended set and a “plan preview” step showing DAG and expected time/cost. Default to recommended, not all.                                              |
|  U6 | Partial run errors are buried; user only sees “completed”                           | `/progress` endpoint returns plugin statuses + error summaries, but “completed” can still have errors.    | Introduce run outcome states: `completed_with_errors`, `failed`, `canceled`. Require a visible error badge + “re-run failed plugins” CTA.                                     |
|  U7 | Editing JSON overrides introduces subtle schema-invalid settings                    | Settings UI is a raw `<textarea>` per plugin.                                                             | Add live JSON schema validation (client + server), show diffs vs defaults, and provide “reset to defaults” per plugin.                                                        |
|  U8 | Known-issues editor encourages free-form entries → accidental false negatives       | Known issues editor supports “strict” and NL notes, with autosave.                                        | Add preview: “these are the exact checks that will run”; require explicit scope binding to ERP/project/dataset_version.                                                       |
|  U9 | User can’t tell if run used sampling/row limits                                     | Budgets exist, but UX does not surface them in a single place. (Budget is part of plugin output schema.)  | Add “Sampling & budgets” summary with row_limit/sample strategy/time limits and whether results are complete vs sampled.                                                      |
| U10 | LLM prompt artifact leaks PII because redaction is exact-match only                 | Prompt builder replaces exact detected values; misses variants/format changes.                            | Add deterministic structured redaction with canonicalization + context-aware masking; require a “PII scan report” artifact and user consent gate before prompt export.        |

## A2) Red-team as a System Admin/Operator — 10 scenarios

|   # | Failure mode                                                                     | Likely detection signals (existing/needed)                                | Mitigation (defensive)                                                                                                                           |
| --: | -------------------------------------------------------------------------------- | ------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------ |
|  O1 | Plugin dependency cycle blocks runs                                              | Toposort throws on cycles.                                                | Add a `stat-harness plugins doctor` command that precomputes DAG, highlights the cycle, and blocks enablement until resolved.                    |
|  O2 | Schema drift: mix of draft-07 and 2020-12 behaves inconsistently                 | Some schemas use 2020-12.                                                 | Standardize schema dialect or select validator by `$schema` explicitly and test both; gate plugin install on schema validation pass.             |
|  O3 | SQLite corruption or partial writes after crash/power loss                       | WAL + sync NORMAL trades durability for speed.                            | Add automatic backups + integrity checks (`PRAGMA integrity_check`), and crash recovery marking runs as “crashed” with salvage tooling.          |
|  O4 | Run directory partially written (non-atomic) → “completed” but missing artifacts | `write_json()` is non-atomic.                                             | Use atomic write pattern (temp + fsync + rename) and run finalization step that checks required artifacts exist before marking completed.        |
|  O5 | Sandbox allowlist too permissive by default (implicit `run_dir` + DB)            | Pipeline adds `run_dir` and `state.sqlite` to allow_paths.                | Make allowlist explicit per plugin; require “DB access” and “run_dir write” capabilities declared and approved in plugin manager.                |
|  O6 | Hung plugin blocks worker threads; pipeline never completes                      | Runner supports timeout via budget time_limit_ms.                         | Add orchestrator watchdog + hard wall-time caps; classify as timeout and optionally retry with stricter budgets.                                 |
|  O7 | Performance regression goes unnoticed (slow ingest, heavy plugins)               | `plugin_executions` captures durations & CPU.                             | Add regression gates: baseline fixture + threshold alerts; surface medians/p95 in UI.                                                            |
|  O8 | Artifact serving path traversal                                                  | API uses `safe_join` for artifacts.                                       | Extend to block symlink/junction tricks and add tests covering symlinks and Windows path edge cases.                                             |
|  O9 | “Auto-evaluate” path generates run_id separately (inconsistent ID policy)        | Server uses `uuid.uuid4().hex` directly.                                  | Centralize run_id policy in one function; add deterministic “run_fingerprint” alongside unique run_id.                                           |
| O10 | PII tables drift / false positives poison prompt anonymization                   | `pii_entities` store hashes + values; prompt builder uses exact matches.  | Add PII confidence + provenance (which plugin/rules flagged it) and require review/approval for prompt export; add “redaction coverage” metrics. |

---

# B) Recommendations master tables (by bucket, in required order)

**Legend:** Scores are **P1 Performant / P2 Security / P3 Accuracy / P4 Citeability = Total**.
**Effort:** S/M/L. **Risk:** Low/Med/High.
**Acceptance test includes:** *Improved*, *Risked*, *Enforcement location*, *Regression detection (ship gate: ANY_REGRESS ⇒ DO_NOT_SHIP)*, and a concrete verification.

---

## I. Foundation: Ingest + Run-core stability

| ID     | Recommendation (one line)                                                                                                         | Rationale (why it matters)                                                                                                                      |    Scores | Effort | Risk | Dependencies                   | Acceptance test (incl. enforcement + regression gate)                                                                                                                                                                                                                                                           |
| ------ | --------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------- | --------: | :----: | :--: | ------------------------------ | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| FND-01 | Make run directory creation **atomic** (temp dir → finalize/rename) and write a `run_manifest.json` first                         | Current run writes multiple files directly under `run_dir`  and JSON writes are non-atomic  → crashes yield partial/ambiguous state             | 1/1/2/3=7 |    M   |  Med | `utils.write_json` update      | Improved: P3,P4; Risked: P1 (extra fs ops); Enforce: `core/utils.py`, `core/pipeline.py`; Regress: deterministic fixture run must still pass + no missing artifacts ⇒ DO_NOT_SHIP; Acceptance: kill process mid-run then restart: run marked `crashed`, partial artifacts preserved, finalization never occurs. |
| FND-02 | Add deterministic **`run_fingerprint`** (hash of dataset hash + settings + plugin set + harness version) for idempotency & replay | `run_id` is UUID-based ; seed often derived from run_id , so “same inputs” cannot be deduped/proved by ID alone                                 | 2/1/2/4=9 |    M   |  Low | stable hashing utility         | Improved: P1,P3,P4; Risked: none; Enforce: `core/pipeline.py`, `core/storage.py` schema; Regress: identical inputs must map to identical fingerprint; if not ⇒ DO_NOT_SHIP; Acceptance: rerun same dataset+settings yields same fingerprint and can optionally reuse cached outputs.                            |
| FND-03 | Implement crash recovery: mark `runs.status=crashed` if `running` and no recent activity; add “resume/retry failed plugins”       | Runs table has `status` + `error_json`.  Pipeline writes plugin executions; progress endpoint relies on them.                                   | 1/1/3/3=8 |    M   |  Med | `plugin_executions` timestamps | Improved: P3,P4; Risked: P1 (startup scan); Enforce: `ui/server.py` startup hook + `storage.py`; Regress: no false “crashed” for slow runs; if observed ⇒ DO_NOT_SHIP; Acceptance: simulate hard kill; restart; run auto transitions to `crashed` with actionable “retry” plan.                                 |
| FND-04 | Add SQLite “durability profiles” + periodic checkpoint + integrity check command                                                  | Default is WAL + sync NORMAL ; operators need an explicit “safe vs fast” knob and offline verification                                          | 1/1/2/2=6 |    S   |  Low | none                           | Improved: P3,P4; Risked: P1; Enforce: `core/storage.py`; Regress: performance profile tests must not exceed baseline thresholds; if exceeds ⇒ DO_NOT_SHIP; Acceptance: `stat-harness db doctor` runs `integrity_check`, prints WAL/checkpoint state, and can switch profiles.                                   |
| FND-05 | Convert uploads to content-addressable storage + verify sha after write (atomic)                                                  | Upload path computes sha and dedupes  but integrity relies on in-memory hashing; strengthen by re-hashing on disk + CAS layout for auditability | 2/2/2/3=9 |    M   |  Med | `ui/server.py` upload code     | Improved: P1,P2,P3,P4; Risked: none; Enforce: `ui/server.py`; Regress: upload throughput must not regress >5% on fixture; else DO_NOT_SHIP; Acceptance: corrupt file write simulation causes upload rejection; stored file path is `uploads/by-sha/<sha>/raw`.                                                  |
| FND-06 | Make dataset version hashing provable: compute `data_hash` from canonicalized content and store alongside row/col counts          | `dataset_versions` has `data_hash`, `row_count`, `column_count` ; ensure it is always set deterministically from ingested table writes          | 1/1/3/4=9 |    M   |  Med | ingest plugin update           | Improved: P3,P4; Risked: P1; Enforce: `plugins/ingest_tabular/plugin.py`, `storage.py`; Regress: `data_hash` stable across runs; if drift ⇒ DO_NOT_SHIP; Acceptance: ingest same file twice yields identical `data_hash`, row/col counts, and canonical column mapping.                                         |
| FND-07 | Add run-dir GC + retention policy + “pin” runs for audits                                                                         | No evidence of cleanup/retention controls (gap).                                                                                                | 1/1/2/2=6 |    M   |  Med | new config + UI                | Improved: P1,P2,P4; Risked: P3 (accidental deletion); Enforce: `core/storage.py` + `ui/server.py`; Regress: pinned runs must never be deleted; if deletion occurs ⇒ DO_NOT_SHIP; Acceptance: configured retention deletes only unpinned runs older than threshold and logs actions.                             |
| FND-08 | Expand path-safety to block symlink/junction tricks in artifact serving and sandboxed file access                                 | `safe_join` blocks traversal  and is used for artifacts ; extend to symlinks/junctions for Windows hardening                                    | 0/3/1/1=5 |    S   |  Med | new tests                      | Improved: P2; Risked: P1 (extra resolve calls); Enforce: `core/utils.py safe_join`, `core/sandbox.py`; Regress: legitimate artifact reads must still work; else DO_NOT_SHIP; Acceptance: tests create symlink escape attempt and verify denial.                                                                 |

---

## II. Metadata: Contracts + provenance + auditability

| ID      | Recommendation                                                                                                         | Rationale                                                                                                                                          |    Scores | Effort | Risk | Dependencies        | Acceptance test (incl. enforcement + regression gate)                                                                                                                                                                                                                                                                                            |
| ------- | ---------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------- | --------: | :----: | :--: | ------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| META-01 | Introduce a canonical `run_manifest.json` (schema-validated) and link it from `report.json`                            | Pipeline already writes `run_meta.json`  and report writer validates schema ; formalize provenance fields for proof                                | 1/1/2/4=8 |    M   |  Low | FND-01              | Improved: P4; Risked: none; Enforce: `docs/report.schema.json`, `core/report.py`; Regress: report schema validation must still pass; else DO_NOT_SHIP; Acceptance: report contains `provenance.run_manifest_path` and manifest validates + includes hashes/versions.                                                                             |
| META-02 | Persist plugin identity tuple: `(plugin_id, plugin_version, code_hash, manifest_hash, schema_hash)`                    | Runner already returns `plugin_code_hash` and validates schemas ; DB stores `code_hash` in `plugin_results_v2` ; add remaining hashes for audit    | 1/1/2/4=8 |    S   |  Low | small DB migration  | Improved: P3,P4; Risked: none; Enforce: `plugin_runner.py`, `storage.py`, migrations; Regress: none; Acceptance: changing only a plugin file changes stored code_hash/manifest_hash; report shows it.                                                                                                                                            |
| META-03 | Store per-plugin **config snapshot** (normalized JSON) in `plugin_executions` (or new table), not just `settings_hash` | `plugin_executions` currently lacks config/settings fields ; `plugin_results_v2` stores `settings_hash` only ; without snapshots, replay is weaker | 1/1/3/4=9 |    M   |  Med | migration + UI      | Improved: P3,P4; Risked: P2 (sensitive config); Enforce: `core/storage.py`, `core/pipeline.py`; Regress: configs must be redacted for secrets; leaks ⇒ DO_NOT_SHIP; Acceptance: rerun can be generated from stored config snapshot + schema validation passes.                                                                                   |
| META-04 | Enforce “evidence discipline”: findings must include `measurement_type` and evidence for measured claims               | Dev guide requires measured vs modeled and evidence fields ; pipeline already adds violations when missing —make it a non-optional gate            | 0/0/3/4=7 |    M   |  Med | report schema tweak | Improved: P3,P4; Risked: P1 (more failures); Enforce: `core/pipeline.py validate_modeled_findings`, schema; Regress: false failures on legacy plugins must be triaged via explicit exemptions; if silent bypass ⇒ DO_NOT_SHIP; Acceptance: remove `measurement_type` from a plugin finding → run fails validation and surfaces actionable error. |
| META-05 | Use/extend `lineage_edges` to record upload→dataset_version→run→plugin_result→artifact links                           | `lineage_edges` table exists  and trace UI renders edges ; populate edges systematically for provable provenance                                   | 1/1/2/4=8 |    M   |  Med | storage helpers     | Improved: P4; Risked: P1; Enforce: `core/pipeline.py` checkpoints; Regress: edge spam must be bounded; if DB grows unbounded ⇒ DO_NOT_SHIP; Acceptance: trace shows full chain for a run with clickable artifacts.                                                                                                                               |
