plugin_id,plugin_type,plugin_name,plugin_status,actionability_state,recommendation_count,actionable_via_discovery,reason_code,reason_code_detail,recommended_next_step,next_step_lane_id,expected_post_state,finding_count,finding_kind_preview,plugin_summary
analysis_action_search_mip_batched_scheduler_v1,analysis,Action Search (MIP Batched Scheduler),ok,actionable,3,True,,,,already_actionable,actionable,1,actionable_ops_lever,REUSED from baseline_freshman_20260219b
analysis_action_search_simulated_annealing_v1,analysis,Action Search (Simulated Annealing),ok,actionable,3,True,,,,already_actionable,actionable,1,actionable_ops_lever,REUSED from baseline_freshman_20260219b
analysis_actionable_ops_levers_v1,analysis,Actionable Ops Levers (v1),ok,actionable,11,True,,,,already_actionable,actionable,20,actionable_ops_lever,REUSED from baseline_freshman_20260219b
analysis_aft_survival_lognormal_v1,analysis,analysis_aft_survival_lognormal_v1,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_observation,REUSED from baseline_freshman_20260219b
analysis_anova_auto,analysis,Anova Auto,ok,explained_non_actionable,0,False,NO_ELIGIBLE_SLICE,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,analysis_no_action_diagnostic,REUSED from baseline_freshman_20260219b
analysis_association_rules_apriori_v1,analysis,Association Rules (Apriori),ok,actionable,1,True,,,,already_actionable,actionable,10,actionable_ops_lever,REUSED from baseline_freshman_20260219b
analysis_attribution,analysis,Attribution Analysis,ok,actionable,5,True,,,,already_actionable,actionable,9,attribution,REUSED from baseline_freshman_20260219b
analysis_bayesian_online_changepoint_studentt_v1,analysis,analysis_bayesian_online_changepoint_studentt_v1,ok,explained_non_actionable,0,False,NO_STATISTICAL_SIGNAL,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,analysis_no_action_diagnostic,REUSED from baseline_freshman_20260219b
analysis_bayesian_point_displacement,analysis,Bayesian Point Displacement,ok,actionable,1,True,,,,already_actionable,actionable,3,bayesian_point_displacement,REUSED from baseline_freshman_20260219b
analysis_benfords_law_anomaly_v1,analysis,analysis_benfords_law_anomaly_v1,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,5,plugin_observation,REUSED from baseline_freshman_20260219b
